,Pinyin Name,English Name,Latin Name,Attributes,Meridians/Energy_channels,Use Part,Effect,Indication
5117,AI YE,"Argy Wormwood Leaf Equivalent plant: Artemisia mongolica,  Artemisia princeps,  Artemisia lavandulaefolia, Artemisia rubripes, Artemisia vulgaris",Artemisia argyi,"Warm,Pungent,Bitter","Spleen,Liver,Kidney",leaf,"To dissipate cold and relieve pain, warm menstruation and stanch bleeding.","Cold pain in abdomen, menstrual disorder due to cold, infertility due to uterus cold, blood ejection, spontaneous external bleeding, flooding and spotting, fetal spotting, itchy skin."
5136,YANG JIN HUA,Hindu Datura Flower Equivalent plant: Datura innoxia,Datura metel,"Pungent, warm","Heart, lung,spleen","seed ,  abdomen, wind-damp impediment pain, knocks and falls, epilepsy, chronic fright wind, anesthesia","To suppress cough and calm asthma, relieve pain and settle tetany.","Cough and asthma without phlegm, cold pain in heart and Datura stramonium ."
5168,DONG CHONG XIA CAO,Aweto (Chinese Caterpillar Fungus),Cordyceps sinensis,"Mild,Sweet","Lung,Kidney",a drug consisting of dried fungal stroma growing on larva of a caterpillar,"To supplement lung and boost kidney, stanch bleeding and transform phlegm.","Impotence and emission, neurasthenia, backache, aching in lumbus and knees, enduring cough and vacuity asthma, taxation damage hemoptysis."
5171,SUAN ZAO REN,Spine Date Seed,Ziziphus jujuba  var. spinosa,"Mild,Sweet,Sour","Spleen,Liver,Heart,Gallbladder",seed,"To supplement liver, quiet heart, constrain sweat, engender liquid.","Neurasthenia, vacuity vexation and insomnia, fright palpitation, arrhythmia, frequent dreaming, vacuity and profuse sweating, fluid damage and thirst."
5173,XI JIAO,Rhinoceros Horn,"Rhinoceros unicornis ,  Rhinoceros sondaicus ,  Rhinoceros sumatrensis","Cold,Sour,Bitter,Salty","Stomach,Liver,Heart",horn,"To cool blood, clear heat, resolve toxin, settle fright.","Blood ejection, spontaneous external bleeding, acute febrile diseases, epidemic febrile diseases."
5180,HE SHOU WU,Tuber Fleeceflower,Polygonum multiflorum,"Cold,Minor Warm,Sour,Bitter","Liver,Kidney",tuberoid,"To lower cholesterol, enrich  yin and nourish blood,   moisten intestines and free stool, interrupt malaria, dispel wind, resolve toxin.","Backache, neurasthenia, hyperlipemia, neurosis, insomnia, dizziness due to anemia, palpitation, limp aching lumbus and knees due to liver kidney  yin vacuity, premature graying in beard and hair, tinnitus, emission, intestinal dry and constipation, enduring malaria, wind papule itching, sore and welling abscess, scrofula, hemorrhoids."
5202,PING GUO,Apple,Malus pumila,"Cool,Sweet,Slightly Sour","Lung,Spleen,Stomach",fruit,"To boost stomach, engender liquid, eliminate vexation, arouse liquor.","Scant fluid and thirst, spleen vacuity diarrhea, food retention and abdominal distention, resolve liquor toxin."
5210,SHAN YAO,Common Yam Equivalent plant: Dioscorea japonica,Dioscorea batatas  [Syn.  Dioscorea opposita ],"Mild,Sweet","Lung,Spleen,Kidney",rhizome,"To fortify spleen and nourish stomach, engender liquid and boost lung, supplement kidney and rough essence.","Reduced food intake due to spleen vacuity, incessant chronic diarrhea, cough and asthma due to lung vacuity, kidney vacuity and emission, vaginal discharge, frequent urination, vacuity heat and diabetes mellitus."
5237,QIAN HU,"Common Hogfennel Equivalent plant:  Peucedanum praeruptorum ,  Peucedanum longshengens,  Peucedanum rubricaule , Ligusticum brachylobum",Angelica decursiva  [Syn.  Peucedanum decursivum],"Minor cold,Pungent,Bitter",Lung,root,"To course wind and dissipate heat, downbear  qi  and transform phlegm.","Cough, externally contracted wind-heat, lung heat phlegm depression, cough and asthma with abundant phlegm, sticky phlegm, retching counterflow and reduced food intake, fullness and oppression in chest and diaphragm."
5240,BAI HUA SHE SHE CAO,Spreading Hedyitis Equivalent plant:  Hedyotis corymbosa,Oldenlandia diffusa [Syn.  Hedyotis diffusa],"Cold,Sweet,Slightly Bitter","Large Intestine,Stomach,Small Intestine",whole herb with root,"To clear heat and resolve toxin, disinhibit damp.","Lung heat cough asthma, swelling pain in throat, intestinal welling abscess, swelling of sores and boils, poisonous snake bite, heat strangury with inhibited pain, edema, dysentery, enteritis, damp-heat jaundice, carcinoma."
5252,QIN JIAO,"Largeleaf Gentian Equivalent plant:  Gentiana crassicaulis,  Gentiana straminea,  Gentiana dahurica, Gentiana tianschanica, Gentiana tibetica, Gentiana kaufmanniana , Gentiana siphonantha",Gentiana macrophylla,"Minor cold,Pungent,Bitter","Stomach,Liver,Gallbladder",dried root,"To dispel wind-damp, clear damp heat, relieve pain due to impediment.","Wind-damp impediment pain, hypertonicity of sinews and vessels, aching pain in joints, late afternoon tidal fever, child  gan  accumulation with fever."
5270,CHUAN BEI MU,"Tendrilleaf Fritillary Equivalent plant:  Fritillaria unibracteata, Fritillaria delavayi,  Fritillaria przewalskii",Fritillaria cirrhosa,"Minor cold,Sweet,Bitter","Lung,Heart",bulb,"To clear heat and moisten lung, relieve cough and transform phlegm.","Lung heat cough, dry cough, chronic bronchitis, infection of upper respiratory tract, tuberculosis, gastric ulcer, duodenal ulcer,  yin vacuity taxation cough, cough with phlegm and blood."
5273,XI SHUAI,Chinese Cricket,Gryllulus chinensis,"Warm,Pungent,Salty","Bladder,Large Intestine,Small Intestine",dried body,To disinhibit urine.,"Urinary stoppage, edema, ascites."
5289,CAO DOU KOU,Katsumada Galangal,Alpinia katsumadai,"Warm,Pungent","Spleen,Stomach",seed,"To dispel damp and strengthen spleen, warm stomach and check vomiting.","Spleen-stomach Cold-damp obstructing, distention fullness and pain in stomach duct and abdomen, vomiting, diarrhea."
5329,DU ZHONG,Eucommia,Eucommia ulmoides,"Warm,Sweet","Liver,Kidney",bark,"To lower blood pressure, supplement liver and kidney, strengthen sinews and bones, quiet fetus.","Hypertension, kidney vacuity lumbago, weakness in sinews and bones, stirring fetus in pregnancy."
5494,MAO GEN,Japanese Buttercup,Ranunculus japonicus,"Cold,Sweet","Lung,Bladder,Stomach",whole herb and root,"To abate jaundice, settle asthma, interrupt malaria, settle pain, eliminate screen.","Malaria, jaundice, migraine, stomachache, pain in joints due to rheumatalgia, crane’s knee wind, swollen welling abscess, malign sore, scab and lichen, toothache, fire eye."
5496,ZI HUA DI DING,Tokyo Violet,Viola yedoensis,"Cold,Pungent,Bitter","Liver,Heart",whole herb,"To clear heat and resolve toxin, cool blood and disperse swelling.","Welling abscess and flat abscess with clove sore, erysipelas, mumps, mammary welling abscess, intestinal welling abscess, scrofula, damp-heat diarrhea dysentery, jaundice, red eyes with gall, poisonous snake bites."
5503,LIAN ZI,Hindu Lotus Seed,Nelumbo nucifera,"Mild,Sweet,Punkery","Spleen,Heart,Kidney",seed,"To supplement spleen and check diarrhea, boost kidney and secure essence, nourish heart and quiet spirit.","Chronic diarrhea, inappetence, emission, restlessness, fright palpitation, insomnia, flooding and spotting, excessive leukorrhea."
5520,XIE BAI,Longstamen Onion Equivalent plant: Allium chinense,Allium macrostemon,"Warm,Pungent,Bitter","Lung,Large Intestine,Stomach",bulb,"To promote  yang  and dissipate binds, rectify  qi and loosen chest.","Chest impediment, phlegm-rheum cough asthma, diarrhea and tenesmus."
5535,SHUI ZHI,Bigflower Cape Jasmine,Gardenia jasminoides  var. grandiflora,"Mild,Bitter,Salty",Liver,fruit,"To clear heat and resolve toxin, disperse swelling and relieve pain.","Heat toxin, jaundice, nosebleed(epistaxis), nephritis with edema, sprain and contusion."
5567,ROU DOU KOU,Common Nutmeg,Myristica fragrans,"Warm,Pungent","Spleen,Large Intestine,Stomach",kernel,"To warm center and move qi , astringe intestines and check diarrhea.","Spleen-stomach vacuity cold, incessant chronic diarrhea, distending pain in stomach duct, reduced food intake with vomiting."
5580,WU YAO,Combined Spicebush,Lindera strychnifolia  [Syn.  Lindera aggregata],"Warm,Pungent","Lung,Bladder,Spleen,Kidney",tuberoid,"To normalize qi and relieve pain, warm kidney and disperse cold.","Distending pain in chest and abdomen, qi counterflow with rapid asthma, bladder vacuity cold, enuresis and frequent urination, mounting qi ,   dysmenorrhea."
5585,DAN ZHU YE,Common Lophatherum,Lophatherum gracile,"Cold,Sweet,Neutral","Stomach,Small Intestine,Heart",aerial parts,"To clear heat and eliminate vexation, disinhibit urine.","Febrile diseases with vexation and thirst, inhibited voidings of reddish urine, dribbling pain of urination, mouth sore, tongue sores."
5589,SANG JI SHENG,Parasite Scurrula,Loranthus parasiticus,"Mild,Sweet,Bitter","Liver,Kidney",stem and branch-leaf,"To dispel wind-damp, strengthen sinews and bones, quicken blood and resolve toxin.","Angina pectoris, arrhythmia, hypertension, wind-damp impediment pain, aching in lumbus and knees, stomachache, scant breast milk, knocks and falls, toxin swelling of sores, frostbite."
5599,HUANG QIN,"Baikal Skullcap Equivalent plant:  Scutellaria amoena ,  Scutellaria viscidula, Scutellaria likiangensis ,  Scutellaria rehderiana,  Scutellaria hypericifolia",Scutellaria baicalensis,"Cold,Bitter","Lung,Large Intestine,Stomach,Small Intestine,Gallbladder",root,"To clear heat and dry damp, drain fire and resolve toxin, stanch bleeding, quiet fetus.","Chest oppression with retching, diarrhea, jaundice, lung heat cough, infection of upper respiratory tract, acute tonsillitis, acute pharyngolaryngitis, ardent fever with vexation and thirst, blood heat, blood ejection, spontaneous external bleeding, swelling toxin of welling abscess and sore, stirring fetus in pregnancy."
5625,CHEN XIANG,Eaglewood Equivalent plant: Aquilaria sinensis,Aquilaria agallocha,"Warm,Pungent,Bitter","Spleen,Stomach,Kidney",resinous wood,"To calm, move  qi  and relieve pain, warm center and downbear counterflow, check vomiting, accept  qi and calm asthma.","Cold pain in stomach duct and abdomen,  qi counterflow with asthma, stomach cold with retching counterflow, vacuity cold in lumbus and knees, vacuity constipation,  qi  strangury."
5628,TOU GU CAO,Tuberculate Speranskia,Speranskia tuberculata,"Warm,Pungent","Liver,Kidney",whole herb,"To dispel wind and eliminate damp, soothe sinews and quicken blood, relieve pain.","Wind-damp impediment pain, contracture of muscles and joints, beriberi,  swelling toxin of sore and lichen."
5640,TIAN MA,Tall Gastrodia,Gastrodia elata,"Mild,Sweet",Liver,stem and tuber,"To extinguish wind and check tetany, calm liver and subdue  yang ,   dispel wind and free network vessels.","Convulsion, child convulsion, spasm in limbs, facial muscle spasm, trigeminal neuralgia, numbness in limbs, acute fright wind, chronic fright wind, tetanus, dizziness, headache, hemiplegia, hypertension, wind-damp impediment pain."
5667,GUANG JIN QIAN CAO,Snowbellleaf Tickclover,Desmodium styracifolium,"Mild,Sweet,Neutral","Bladder,Liver,Kidney,Gallbladder",aerial parts,"To clear heat and eliminate damp, disinhibit urine and free strangury.","Heat strangury, sand strangury, stone strangury, pain of hot urine, scant urine with edema, jaundice with reddish urine, urethral stone."
5699,DI YU,Garden Burnet,Sanguisorba officinalis,"Minor cold,Sour,Bitter","Large Intestine,Stomach,Liver",root,"To cool blood and stanch bleeding, clear heat and resolve toxin, disperse swelling and close sores.","Blood ejection, hemoptysis, duodenal ulcer, spontaneous external bleeding, hematuria, hematochezia, bleeding from hemorrhoids, blood dysentery, flooding and spotting, red and white vaginal discharge, swelling pain of welling abscess and sore, eczema, pudendal itch, burns and scalds, snake or insect bites."
5700,GAN CAO,"Ural Licorice Equivalent plant: Glycyrrhiza inflata, Glycyrrhiza glabra, Glycyrrhiza kansuensis, Glycyrrhiza aspera, Glycyrrhiza yunnanensis , Glycyrrhiza squamulosa",Glycyrrhiza uralensis,"Mild,Sweet","Lung,Spleen,Stomach,Heart",root and rhizome,"To supplement center and boost  qi,   relax tension and relieve pain, moisten lung and relieve cough, drain fire and resolve toxin, regulate function A, spleen-stomach vacuity, fatigue hypodynamia, palpitation and shortness of breath, cough with profuse phlegm, pain in stomach duct and abdomen, acute spasm in limbs, swelling toxin of welling abscess and sore.","1. Its decoction can inhibit intestinal smooth muscles of rabbins in vitro, but glycyrrhizin and glycyrrhetinic acid have no this effect.2. Possessing an adrenocorticomimetic effect.3. Its extract and glycyrrhizin exerts a detoxifying effect.4. Antitussive and antiasthmatic. 5. Glycyrrhizin has anti-inflammatory effect similar to hydrocortisone."
5740,HEI ZHI MA,Oriental Sesame (black seed),Sesamum indicum  [Syn.  Sesamum orientale ],"Mild,Sweet","Large Intestine,Liver,Kidney",black seed,"To supplement liver and kidney, boost essence and blood, moisten intestines.","Dizziness, tinnitus and deafness, premature graying in beard and hair, hair loss during convalescence, intestinal dry and constipation."
5741,YING SU KE,Opium Poppy Pericarp,Papaver somniferum,"Mild,Sour,Punkery","Lung,Large Intestine,Kidney",capsule,"To constrain lung, astringe intestines, relieve pain.","Enduring cough, chronic diarrhea, prolapse of rectum, pain in stomach duct and abdomen."
5753,HUANG JING,"Siberian Solomonseal Equivalent plant:  Polygonatum kingianum , Polygonatum cyrtonema",Polygonatum sibiricum,"Mild,Sweet","Lung,Spleen,Kidney",rhizome,"To nourish  yin  and moisten lung, supplement spleen and boost qi,   enrich kidney and replenish essence.","Yin vacuity taxation cough, lung heat dry cough, fatigue hypodynamia due to spleen vacuity, reduced food intake with dry mouth, diabetes mellitus, limp aching lumbus and knees due to kidney yin vacuity, impotence and emission, tinnitus and dim vision, premature graying in beard and hair, vacuity and marked emaciation, wind lai  lichen."
5758,SHAN ZHU YU,Asiatic Cornelian Cherry,Cornus officinalis [Syn.  Macrocarpium officinale ],"Warm,Sweet,Sour,Punkery","Liver,Kidney",fruit,"To supplement liver and kidney, rough essence and stem desertion.","Dizziness and tinnitus, aching in lumbus and knees, impotence and emission, enuresis and frequent urination, flooding and spotting with vaginal discharge, vacuity and profuse sweating, vacuity desertion due to great sweating, diabetes mellitus due to internal heat, dysmenorrhea."
5784,CHUAN XU DUAN,Himalayan Teasel Equivalent plant:  Dipsacus japonicus,Dipsacus asperoides,"Minor Warm,Pungent,Sweet,Bitter","Liver,Kidney",root,"To supplement liver and kidney, strengthen sinews and bones, joint bones, check flooding and spotting.","Limp aching lumbus and knees, wind-damp impediment pain, flooding and spotting, profuse menstruation, fetal bleeding, knocks and falls."
5785,MU ZEI,Common Scouring Rush,Equisetum hiemale,"Mild,Sweet,Bitter","Lung,Liver",aerial parts,"To dissipate wind-heat, eliminate screen.","Wind-heat red eye, tearing in wind, eye screen."
5818,HUANG QI,"Membranous Milkvetch Equivalent plant:  Astragalus mongholicus,  Astragalus chrysopterus,  Astragalus ernestii",Astragalus membranaceus,"Warm,Sweet","Lung,Spleen",root,"To boost qi and secure exterior, disinhibit urine and draw toxin, expel pus, close sores and engender flesh.","Common cold, influenza, chronic wound ulcer, chronic glomerulonephritis, diabetes mellitus due to internal heat, qi  vacuity edema, chronic gastritis, qi vacuity and hypodynamia, reduced food intake and sloppy stool, center  qi  fall, chronic diarrhea, prolapse of rectum, hematochezia, flooding and spotting, spontaneous sweating due to exterior vacuity."
5826,XIAO MAI,Wheat,Triticum aestivum  [Syn.  Triticum vulgare ],"Cool,Sweet","Spleen,Heart,Kidney",seed,"To nourish heart, boost kidney, eliminate heat, allay thirst.","Visceral agitation, heat vexation, diabetes mellitus, diarrhea, swollen welling abscess, bleeding due to external injury, scalds."
5854,MO HAN LIAN,Yerbadetajo,Eclipta prostrata [Syn.  Eclipta alba],"Cold,Sweet,Sour","Liver,Kidney",aerial parts,"To supplement liver and kidney, cool blood and stanch bleeding.","Tooth mobilizing, premature graying in beard and hair, dizziness and tinnitus, limp aching lumbus and knees,  yin vacuity blood heat, hemoptysis, blood ejection, duodenal bleeding, nosebleed(epistaxis), hematuria, blood dysentery, flooding and spotting, bleeding due to external injury, eczema of skin, bleeding of skin, snake bite."
5898,BAI TOU WENG,"Chinese Pulsatilla Equivalent plant:  Pulsatilla cernua,  Pulsatilla campanella, Pulsatilla dahurica",Pulsatilla chinensis,"Cold,Bitter","Large Intestine,Stomach,Liver",root,"To clear heat and resolve toxin, cool blood and check diarrhea, dry damp and kill worms.","Amebic dysentery, nosebleed, flooding and spotting, bleeding from hemorrhoids, cold-heat warm malaria, vaginal discharge, pudendal itch, eczema, scrofula, welling abscess, painful red eyes, neurodermatitis."
5918,PI PA YE,Loquat Leaf,Eriobotrya japonica,"Minor cold,Bitter","Lung,Stomach",leaf,"To clear lung and relieve cough, downbear counterflow and check vomiting.","Lung heat cough, qi counterflow with rapid asthma , stomach heat vomiting, heat vexation and thirst."
5946,DA HUANG,"Medicinal Rhubarb Equivalent plant: Rheum palmatum,  Rheum tanguticum",Rheum officinale,"Cold,Bitter","Spleen,Large Intestine,Stomach,Liver,Heart",root and rhizome,"To drain heat and free intestines, cool blood and resolve toxin, expel stasis and free menstruation.","Repletion heat constipation, accumulation with abdominal pain, damp-heat jaundice, acute icterohepatitis, red eyes, swollen throat, intestinal welling abscess and abdominal pain, bleeding of digestive tract, chronic diarrhea, indigestion, acute appendicitis, acute peritonitis, ileus, cholecystitis, gallstones, swollen welling abscess and clove sores, amenorrhea due to blood stasis, knocks and falls, burns and scalds."
5948,GAN LAN,Cabbage,Brassica oleracea  var. capitata,"Mild,Sweet,Sour,Punkery",Lung,leaf,"To clear heat and disinhibit damp, dissipate binds and relieve pain, boost kidney and supplement vacuity.","Damp-heat jaundice, pain from ulcer in digestive tract, stiffness in joints, vacuity detriment."
5959,NIU RU,Cow Milk,"Bos taurus domesticus,  Bubalus bubalis","Mild,Sweet","Lung,Heart",milk,"To supplement vacuity detriment, boost lung and stomach, nourish blood, engender liquid and moisten dryness, resolve toxin.","Vacuity taxation detriment, stomach reflux and dysphagia-occlusion, diabetes mellitus, anemia and constipation,  qi  vacuity and dysentery, jaundice."
5968,BAI GUO,Ginkgo Nut,Ginkgo biloba,"Mild,Sweet,Bitter,Punkery",Lung,nut,"To constrain lung and settle asthma, check turbid vaginal discharge, reduce urine.","AD syndrome, primary degenerative dementia of Alzheimer disease, multi-infarct dementia, improving cognitive function in elderly dementia patients, stable intermittent claudication, cerebrovascular insufficiency diseases, cough with profuse phlegm, vaginal discharge, enuresis and frequent urination."
6040,DA XUE TENG,Sargentgloryvine,Sargentodoxa cuneata,"Mild,Bitter,Punkery","Large Intestine,Liver",stem,"To clear heat and resolve toxin, quicken blood, dispel wind.","Intestinal welling abscess and abdominal pain, amenorrhea, dysmenorrhea, wind-damp impediment pain, painful swelling from knocks and falls."
6048,HAN FANG JI,Yellowmouth Dutchmanspipe,Aristolochia heterophylla,"Cold,Pungent,Bitter","Bladder,Spleen,Kidney",root,"To dispel wind and relieve pain, clear heat and disinhibit water.","Rheumatic pain in joints, damp-heat pain in limbs, edema, inhibited urination, beriberi with edema."
6057,CI JI LI,Puncturevine Caltrap,Tribulus terrestris,"Warm,Bitter","Lung,Liver",fruit,"To dissipate wind and brighten eyes, precipitate qi  and move blood.","Headache, itchy body, red eyes and eye screen, convulsion, fullness in chest, cough and counterflow, concretion and conglomeration, difficult lactation, welling abscess and flat abscess, scrofula."
6120,HAI FENG TENG,Kadsura Pepper,Piper kadsura [Syn.  Piper futokadsura],"Minor Warm,Pungent,Bitter",Liver,stem,"To dispel wind-damp, free channels and network vessels, relieve pain due to impediment.","Wind-cold-damp impediment, aching sinews in limb joints, hypertonicity of sinews and vessels."
6135,DONG GUA PI,Chinese Waxgourd Peel,Benincasa hispida,"Sweet,slightly cold","Lung,small intestine",exocarp,"To clear heat and disinhibit water, disperse swelling.","Edema, inhibited urination [=dysuria], diarrhea, swelling of sores."
6152,SANG BAI PI,White Mulberry Root-bast,Morus alba,"Cold,Sweet",Lung,root cortex,"To drain lung and calm asthma, disinhibit water and disperse edema.","Lung heat cough asthma, water-rheum collecting lung, distention fullness and rapid asthma, edema, beriberi, inhibited urination."
6195,DAN SHEN,"Danshen Equivalent plant:  Salvia przewalskii,  Salvia miltiorrhiza  f  alba",Salvia miltiorrhiza,"Minor cold,Bitter","Liver,Heart",root,"To quicken blood and dispel stasis, regulate menstruation and relieve pain, nourish blood and quiet spirit, cool blood and disperse welling abscess.","Angina pectoris, cerebral atherosclerosis, diffusive intravascular clotting, thrombophlebitis, hepatitis, acute surgical infection, mastitis, erysipelas, otitis media, tonsillitis, bone marrow infection, menstrual disorder, dysmenorrhea, amenorrhea, postpartum stasis stagnation abdominal pain, pain in heart and abdomen, concretion conglomeration accumulation and gathering, heat impediment swelling and pain, knocks and falls, heat entering construction-blood, vexation and agitation, insomnia and vexation, swelling toxin of welling abscess and sore, zoster, neurodermatitis, psoriasis."
6200,BAI ZHU,Largehead Atractylodes,Atractylodes macrocephala  [Syn.  Atractylis macrocephala ],"Warm,Sweet,Bitter","Spleen,Stomach",root,"To boost qi and fortify spleen,   dry damp and disinhibit water, check sweating, quiet fetus.","Spleen  qi  vacuity, fatigue hypodynamia, reduced food intake with abdominal distention, sloppy stool, water-rheum collecting internally, inhibited urination, edema, phlegm-rheum dizziness, damp impediment,  qi  vacuity, spontaneous sweating, stirring fetus in pregnancy."
6204,GOU TENG,"Sharpleaf Gambirplant Equivalent plant:  Uncaria sinensis,  Uncaria macrophylla",Uncaria rhynchophylla  [Syn.  Nauclea rhynchophylla],"Minor cold,Sweet","Liver,Cardiovascular",hooked stem-branch,"To extinguish wind and check tetany, clear heat and calm liver.","Infant fright wind and night crying, exuberant heat stirring wind, epilepsy of pregnancy, liver  yang  dizziness, liver fire headache."
6206,GOU QI ZI,Chinese Wolfberry Fruit Equivalent plant: Lycium barbarum,Lycium chinense,"Mild,Sweet","Liver,Kidney",fruit,"To nourish liver, brighten eyes, enrich kidney, moisten lung, lower blood pressure.","Lassitude in lumbus and knees, emission, dizziness and dim vision, lung disease with cough, diabetes mellitus."
6241,CHANG SHAN,Antifebrile Dichroa,Dichroa febrifuga,"Cold,Pungent,Bitter","Lung,Liver,Heart",root,To dispel phlegm and interrupt malaria.,"Malaria, scrofula."
6281,YI MU CAO,Wormwood-like Motherwort Equivalent plant: Leonurus sibiricus,Leonurus heterophyllus  [Syn.  Leonurus artemisia],"Minor cold,Pungent,Bitter","Bladder,Liver,Heart",aerial parts,"To quicken blood and regulate menstruation, disinhibit urine and disperse edema.","Menstrual disorder, dysmenorrhea, amenorrhea, postpartum bleeding, persistent flow of lochia, edema, scant urine with edema, acute nephritis with edema."
6298,SHE CHUANG ZI,Common Cnidium,Cnidium monnieri,"Warm,Pungent,Bitter",Kidney,fruit,"To warm kidney and invigorate  yang ,  dispel wind, dry damp, kill worms.","Impotence, scrotal damp itch, vaginal discharge, pudendal itch, trichomoniasis, eczema, infertility due to uterus cold, wind-damp impediment pain, scab and lichen, damp sore."
6318,XING REN,Apricot Seed Equivalent plant:  Prunus armeniaca  var  ansu,Prunus armeniaca,"Bitter, slightly warm","Lung,large intestine",bitter seed,"To downbear  qi  and transform phlegm, relieve cough and calm asthma, moisten intestines and free stool.","Cough, asthma and fullness due to external contraction cough, intestinal dry and constipation."
6321,YU LI REN,"Dwarf Flowering Cherry Seed Equivalent plant:  Prunus humilis, Prunus japonica  var nakaii",Prunus japonica [Syn.  Cerasus japonica],"Pungent, bitter,neutral","Small intestine,large intestine",ripe seed,"To moisten dryness and lubricate intestines, precipitate qi,   disinhibit water.","Desiccation of liquid and intestine dryness, food accumulation and qi stagnation, abdominal distention and constipation, edema, beriberi,   inhibited urination."
6325,BIAN XU,Common Knotgrass,Polygonum aviculare,"Minor cold,Bitter",Bladder,dried aerial parts,"To disinhibit urine and free strangury, kill worms, relieve itch.","Urethritis, lithiasis, chyluria, dysentery, parotitis, heat strangury, short voidings of reddish urine, dripping with inhibited pain, eczema, pudendal itch, vaginal discharge, ascariasis."
6327,MAN JING ZI,Threeleaf Chastetree Fruit Equivalent plant: Vitex rotundifolia,Vitex trifolia,"Minor cold,Pungent,Bitter","Bladder,Stomach,Liver",seed,"To dispel wind-heat, clear head and eyes.","Externally contracted wind-heat, dizziness and headache, migraine, gum swelling and pain, red eyes with gall, delacrimation, wind-damp impediment pain, hypertonicity of limbs."
6381,HU TAO REN,English Walnut Seed,Juglans regia,"Sweet,warm","Kidney, lung,large intestine",seed,"To supplement kidney and boost essence, warm lung and settle asthma, moisten intestines and free stool.","Enduring cough and asthma, bronchitis, lumbago and limp leg, frequent urination, enuresis, impotence, emission, intestinal dry and constipation, stone strangury, sores and scrofula."
6383,SHENG JIANG,Fresh Common Ginger,Zingiber officinale,"Warm,Pungent","Lung,Spleen,Stomach",fresh rhizome,"To dissipate cold and resolve exterior, downbear counterflow and check vomiting, relieve cough and transform phlegm.","Wind-cold common cold, fever and aversion to wind, headache and nasal congestion, vomiting, phlegm-rheum cough asthma, distention fullness, diarrhea."
6403,YUAN HUA,Lilac Daphne,Daphne genkwa,"Warm,Pungent,Bitter","Lung,Large Intestine,Kidney",bud,"To drain water and expel rheum, relieve cough and dispel phlegm, resolve toxin and kill worms.","Edema, ascites, hydrothorax, cough with profuse phlegm, chronic bronchitis, malaria, scalp infection, infection of skin, tinea capitis, neurodermatitis, induce abortion, toothache."
6419,XIANG FU,Nutgrass Galingale,Cyperus rotundus,"Mild,Pungent,Slightly Sweet,Slightly Bitter","Spleen,Liver,Three End",rhizome,"To move  qi  and relieve depression, regulate menstruation and relieve pain.","women’s diseases, menstrual disorder, amenorrhea and dysmenorrhea, liver depression and  qi  pain, distending pain in chest and rib-side, distending pain in stomach duct, indigestion, glomus and oppression in chest and stomach duct, cold mounting with  abdominal pain, painful swollen breast."
6423,ROU GUI,Cassiabarktree,Cinnamomum cassia  [Syn.  Cinnamomum aromaticum ],"Hot,Pungent,Sweet","Spleen,Liver,Heart,Kidney",bark,"To supplement fire and reinforce yang,  return fire to its source, dissipate cold and relieve pain, quicken blood and free menstruation.","Impotence, uterus cold, cold pain in lumbus and knees, kidney vacuity asthma, yang  vacuity dizziness, red eyes and sore pharynx, cold pain in heart and abdomen, vacuity cold vomiting and diarrhea, cold mounting, running piglet, amenorrhea, dysmenorrhea."
6430,CHENG LIU,Chinese Tamarisk Equivalent plant: Tamarix ramosissima,Tamarix chinensis,"Pungent,neutral","Lung, stomach,heart",tender branch-leaf,"To course wind and resolve exterior, disinhibit urine and resolve toxin.","Non-eruption of measles, wind papule itching, common cold, cough and asthma, wind-damp bone pain."
6488,XIAN MAO,Common Cruculigo,Curculigo orchioides,"Hot,Pungent","Spleen,Liver,Kidney",rhizome,"To supplement kidney and invigorate yang ,   strengthen sinews and bones, dispel damp and dissipate cold.","Impotence seminal cool, limp wilting sinew and bone, cold impediment in lumbus and knees, yang  vacuity cold diarrhea."
6515,QING HAO,Celery Wormwood,Artemisia apiacea,"Bitter, pungent,cold","Liver,bladder,kidney",whole herb,See  Artemisia annua.,See  Artemisia annua.
6543,JI XING ZI,Garden Balsam Seed,Impatiens balsamina,"Pungent,Bitter","Liver,Heart",ripe seed,"To break blood and soften hard, disperse accumulation.","Concretion and conglomeration, lump glomus, amenorrhea, dysphagia-occlusion."
6547,HUANG LIAN,"Chinese Goldthread Equivalent plant:  Coptis deltoidea ,  Coptis omeiensis , Coptis teetoides,  Coptis chinensis var brevisepala",Coptis chinensis,"Cold,Bitter","Large Intestine,Stomach,Small Intestine,Liver,Heart",rhizome,"To clear heat and dry damp, drain fire and resolve toxin, lower blood pressure.","Febrile infectious diseases, dysentery, blood ejection, spontaneous external bleeding, diphtheria, infection of upper respiratory tract, scarlatina, typhoid fever, acute conjunctivitis, otitis media, acute surgical infection, septicemia, hepatitis, trichomoniasis, eruptive dermatitis, hypertension, vexation and agitation, clouded spirit with delirious speech, damp-heat glomus in chest, damp-heat diarrhea dysentery, insomnia and vexation due to effulgent fire, stomach heat vomiting, swift digestion with rapid hungering, red eyes with pain due to liver fire, heat toxin sores, clove sore running yellow, gum swelling and pain, mouth sore, tongue sores, genital swelling, bleeding from hemorrhoids, eczema, scalds."
